Parameters of the vcal vs. pulse height fits
[3]*(TMath::Erf((x-[0])/[1])+[2])

366.256310441 419.084857506 0.903674963416 136.766193802    Pix 0 0
383.20267147 410.7240495 0.947995522445 133.771822494    Pix 0 1
369.315439503 400.443150248 0.940374927809 133.937045334    Pix 0 2
368.984401776 411.500494821 0.929505359392 134.8513609    Pix 0 3
371.6001655 408.913262555 0.934315864041 134.529396769    Pix 0 4
382.418177892 407.897964477 0.914997457336 136.079677828    Pix 0 5
388.172951247 434.502692344 0.837888582488 142.268663544    Pix 0 6
369.848115066 418.975671394 0.875126171361 138.976633638    Pix 0 7
377.347422351 428.495265487 0.841762510949 141.781606025    Pix 0 8
375.687959881 422.566747389 0.856397129147 140.507260933    Pix 0 9
380.481765891 416.909379013 0.886758343798 138.206536157    Pix 0 10
376.905692454 420.551163611 0.872794315063 139.204535917    Pix 0 11
374.313986491 430.282282669 0.829446710015 142.71882982    Pix 0 12
408.150399042 422.047824106 0.880168062966 139.19906701    Pix 0 13
418.42950893 411.096050376 0.889958303915 138.270052074    Pix 0 14
378.497169416 409.738845198 0.928536717722 135.014482311    Pix 0 15
343.695250413 407.922143334 0.923234326986 134.982999914    Pix 0 16
370.368735639 404.718344661 0.947689410812 133.482395148    Pix 0 17
374.521338885 429.176311924 0.840544272825 141.846534565    Pix 0 18
379.524730846 412.98789597 0.8860107557 138.19111761    Pix 0 19
372.123907019 439.801948595 0.81547622824 143.935136271    Pix 0 20
375.869159244 409.965167287 0.890439850668 137.831267824    Pix 0 21
381.465938003 416.398883728 0.888212586225 138.121816603    Pix 0 22
391.050680365 430.906875971 0.852469181053 141.16196929    Pix 0 23
417.011360124 410.688600387 0.887998842598 138.541271699    Pix 0 24
386.883824032 430.16017271 0.841951640717 141.895337404    Pix 0 25
429.705276774 402.115260205 0.912059847557 136.718956399    Pix 0 26
376.355055917 422.307496096 0.850995825308 140.94728201    Pix 0 27
395.020024473 434.752725327 0.85524915578 141.015315245    Pix 0 28
381.714884716 428.463648902 0.853552358044 140.874692767    Pix 0 29
412.595005036 416.147877303 0.879721331211 139.223420147    Pix 0 30
422.6916079 427.08460576 0.849200252905 140.946622574    Pix 0 31
414.158574956 412.415547608 0.887960257469 138.601308183    Pix 0 32
386.268148793 406.291284466 0.937129982005 134.546829717    Pix 0 33
391.053028297 424.781782408 0.886886913953 138.415462232    Pix 0 34
375.569390935 432.80807816 0.849469632668 141.099467235    Pix 0 35
376.087227551 413.621526591 0.88755743864 138.110312507    Pix 0 36
399.833929414 426.236713823 0.871647742104 139.719274099    Pix 0 37
385.02353814 435.454146491 0.836013995668 142.449091754    Pix 0 38
401.798630966 428.913937363 0.873105396974 139.741981538    Pix 0 39
375.44235878 438.716434715 0.824934327493 143.186058645    Pix 0 40
420.343923381 412.909146065 0.899994764682 137.618700162    Pix 0 41
423.202401569 408.572678689 0.881406893268 138.759495246    Pix 0 42
419.503037244 413.239859507 0.881346124354 138.930812623    Pix 0 43
412.599814155 423.338774748 0.863986686077 140.12217059    Pix 0 44
382.102218029 432.747577846 0.843898801994 141.652624658    Pix 0 45
376.948641231 436.018485353 0.830773381469 142.675437013    Pix 0 46
408.901522812 421.387815793 0.891059528175 138.352419152    Pix 0 47
421.164726682 411.74433085 0.882225641423 138.877418584    Pix 0 48
409.895217623 419.556608135 0.871856688728 139.829190821    Pix 0 49
427.090712951 409.516179434 0.894891365439 137.835261765    Pix 0 50
383.641225398 419.396354737 0.886914449475 138.248481947    Pix 0 51
385.870722195 406.243892857 0.922462182318 135.544672095    Pix 0 52
383.854230345 410.238654782 0.91041091367 136.41675928    Pix 0 53
416.138313475 416.251834833 0.879209547659 139.101685572    Pix 0 54
390.898885751 430.080068249 0.851700692066 141.1395109    Pix 0 55
407.252205411 418.898330217 0.892428414 138.177592133    Pix 0 56
416.961837844 421.746283553 0.888003452179 138.422429451    Pix 0 57
393.923671036 431.895480763 0.861715427367 140.507884929    Pix 0 58
385.533727064 433.166231294 0.841156585893 141.993316154    Pix 0 59
424.330996818 412.407118948 0.899202131537 137.542772429    Pix 0 60
427.25232287 409.094146659 0.894111697717 137.892433421    Pix 0 61
417.306357085 435.333024451 0.830519433203 142.129652187    Pix 0 62
383.988257085 438.652618905 0.832314928209 142.739901684    Pix 0 63
421.729911984 411.258721188 0.906416866902 137.082781751    Pix 0 64
385.651863965 436.743979895 0.838492004561 142.243266817    Pix 0 65
417.843395998 446.342701995 0.813910779881 143.035066485    Pix 0 66
422.060017908 441.770029458 0.821401008088 142.789434961    Pix 0 67
426.351056646 413.330552204 0.883834548614 138.362170864    Pix 0 68
402.173544889 428.098995747 0.883952574275 138.891104609    Pix 0 69
383.350946371 422.627466353 0.888413460233 138.147874256    Pix 0 70
378.924077394 414.785197397 0.898803471367 137.25179272    Pix 0 71
415.160972557 417.962990987 0.888643138724 138.611754562    Pix 0 72
432.895583546 414.57990554 0.899887018187 137.24947838    Pix 0 73
427.708854302 415.686981193 0.882696593642 138.14525116    Pix 0 74
421.097777023 415.340478121 0.902863827327 137.438876985    Pix 0 75
411.423643847 422.288628435 0.896490933225 137.829056934    Pix 0 76
427.043637715 424.506694812 0.885563259363 138.108476489    Pix 0 77
421.301972006 444.552471308 0.816011605879 143.072135246    Pix 0 78
479.050616185 515.4443237 0.765085802786 146.096407902    Pix 0 79
366.423001872 392.423738386 0.909410883427 136.065101995    Pix 1 0
359.830968437 388.22371548 0.917837604102 135.32130711    Pix 1 1
347.261525259 395.268353855 0.878185084776 138.173119908    Pix 1 2
344.660436057 388.43152554 0.921367832131 134.969842214    Pix 1 3
343.086100513 385.914795467 0.911680804209 135.56905151    Pix 1 4
336.894087445 392.11076499 0.912222067537 135.590963897    Pix 1 5
360.648661773 396.549771406 0.877841067 138.314976953    Pix 1 6
