#CH ROC  RZ           RY           X            Y            Z           (dX)         (dY)
 1  -1  +0.0000E+00  +0.0000E+00  +0.0000E+00  +0.0000E+00  +0.0000E+00
 1   0  +0.0000E+00               +0.0000E+00  +0.0000E+00  +1.6256E+01  +1.7334E-02  +1.6284E-02
 1   1  +1.8687E-02               -6.9991E-03  -8.3530E-03  +1.4224E+01  +1.4287E-02  +1.3335E-02
 1   2  +1.6030E-02               +1.3757E-03  +8.6646E-02  +2.0320E+00  +1.8691E-02  +1.5319E-02
 1   3  -4.2977E-03               +5.5235E-02  +1.0154E-01  +0.0000E+00  +1.9367E-02  +1.8548E-02
 1   4  -1.5915E-02               -1.7845E-02  -7.0872E-02  +6.0960E+00  +1.6139E-02  +2.0875E-02
 1   5  +3.5449E-03               +3.2863E-02  -1.4001E-01  +8.1280E+00  +1.9458E-02  +2.0332E-02
 1   6  +1.3035E-02               -1.6102E-01  -9.8892E-02  +1.0160E+01  +2.2566E-02  +2.4505E-02
