#CH ROC  RZ           RY           X            Y            Z           (dX)         (dY)
 1  -1  +0.0000E+00  +0.0000E+00  +0.0000E+00  +0.0000E+00  +0.0000E+00
 1   0  +0.0000E+00               +0.0000E+00  +0.0000E+00  +1.6256E+01  +1.7863E-02  +1.4961E-02
 1   1  -7.6889E-04               +5.3789E-02  +5.5733E-02  +1.4224E+01  +1.3212E-02  +1.2250E-02
 1   2  -2.2909E-02               +5.2919E-02  +7.5804E-02  +2.0320E+00  +1.2645E-02  +1.1931E-02
 1   3  +5.3636E-03               +2.7675E-02  +8.6610E-02  +0.0000E+00  +1.5597E-02  +1.3130E-02
 1   4  +9.2856E-03               -3.0320E-02  -1.0629E-01  +8.1280E+00  +1.9020E-02  +2.0611E-02
 1   5  -2.8156E-02               -1.3611E-02  -1.3359E-01  +1.0160E+01  +2.1487E-02  +2.2430E-02
