Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30 50 70 90 200 

 -125 -104 -79 -53 -24 -48  33 103 152 169    Pix  0  0
 -133 -110 -85 -60 -30 -55  26 100 149 166    Pix  0  1
 -137 -116 -90 -63 -35 -60  23  91 144 164    Pix  0  2
 -132 -110 -84 -59 -29 -54  28  99 150 169    Pix  0  3
 -136 -111 -88 -61 -30 -56  27  98 148 166    Pix  0  4
 -134 -111 -85 -59 -29 -53  29 101 148 162    Pix  0  5
 -130 -108 -81 -57 -24 -51  34 105 152 170    Pix  0  6
 -130 -109 -83 -59 -27 -53  30 101 149 166    Pix  0  7
 -135 -113 -87 -61 -30 -56  27  97 146 165    Pix  0  8
 -135 -114 -89 -62 -33 -60  24  93 146 165    Pix  0  9
 -132 -110 -83 -57 -28 -53  29  99 147 163    Pix  0 10
 -137 -115 -88 -63 -32 -57  26  96 144 162    Pix  0 11
 -131 -108 -79 -53 -22 -50  34 104 150 168    Pix  0 12
 -134 -111 -86 -59 -29 -55  28  96 146 164    Pix  0 13
 -140 -118 -93 -67 -38 -63  19  88 141 161    Pix  0 14
 -130 -107 -80 -54 -24 -48  34 103 149 166    Pix  0 15
 -138 -116 -89 -62 -33 -60  25  95 144 162    Pix  0 16
 -138 -114 -86 -60 -30 -56  28  95 144 161    Pix  0 17
 -133 -109 -83 -58 -26 -54  29  97 148 166    Pix  0 18
 -139 -117 -91 -66 -34 -64  20  88 142 162    Pix  0 19
 -138 -115 -89 -63 -34 -59  22  91 142 162    Pix  0 20
 -135 -112 -87 -60 -31 -58  26  94 146 167    Pix  0 21
 -139 -114 -88 -61 -32 -59  25  92 143 162    Pix  0 22
 -141 -119 -92 -67 -36 -63  17  88 140 161    Pix  0 23
 -133 -114 -87 -61 -33 -60  22  91 144 166    Pix  0 24
 -137 -116 -90 -64 -33 -61  22  92 141 162    Pix  0 25
 -137 -115 -89 -61 -33 -59  22  90 139 161    Pix  0 26
 -138 -117 -91 -64 -35 -61  19  89 142 165    Pix  0 27
 -134 -112 -86 -59 -32 -59  25  92 144 164    Pix  0 28
 -136 -112 -86 -62 -29 -58  25  94 142 160    Pix  0 29
 -134 -113 -87 -59 -30 -56  26  93 146 165    Pix  0 30
 -131 -110 -82 -54 -25 -52  31  97 145 163    Pix  0 31
 -139 -116 -90 -63 -34 -61  22  90 141 160    Pix  0 32
 -133 -112 -85 -59 -31 -56  26  94 145 164    Pix  0 33
 -138 -117 -92 -66 -36 -66  20  85 140 161    Pix  0 34
 -139 -117 -91 -65 -36 -61  20  86 139 159    Pix  0 35
 -139 -117 -92 -65 -36 -62  20  87 141 164    Pix  0 36
 -135 -112 -85 -57 -27 -58  28  94 143 161    Pix  0 37
 -140 -120 -93 -66 -37 -66  19  85 137 160    Pix  0 38
 -133 -110 -82 -57 -27 -56  27  93 145 165    Pix  0 39
 -138 -115 -89 -63 -34 -62  21  88 141 162    Pix  0 40
 -137 -117 -88 -61 -34 -59  23  89 139 160    Pix  0 41
 -133 -113 -87 -59 -29 -58  24  90 142 165    Pix  0 42
 -135 -114 -87 -59 -32 -58  24  92 142 165    Pix  0 43
 -138 -118 -90 -65 -35 -63  22  84 139 159    Pix  0 44
 -134 -113 -87 -60 -31 -59  23  89 142 162    Pix  0 45
 -136 -115 -91 -64 -33 -61  20  86 138 161    Pix  0 46
 -145 -125 -98 -73 -44 -72  10  75 131 157    Pix  0 47
 -132 -111 -85 -58 -28 -56  27  91 144 165    Pix  0 48
 -138 -115 -88 -62 -34 -60  22  87 140 162    Pix  0 49
 -139 -119 -95 -68 -40 -66  14  78 134 159    Pix  0 50
 -133 -111 -82 -57 -27 -56  27  92 143 163    Pix  0 51
 -141 -119 -93 -67 -39 -66  15  79 135 160    Pix  0 52
 -143 -123 -96 -71 -41 -67  13  76 134 157    Pix  0 53
 -134 -114 -88 -62 -33 -60  21  85 140 165    Pix  0 54
 -137 -119 -91 -67 -38 -66  17  81 136 161    Pix  0 55
 -140 -121 -95 -70 -40 -67  13  76 134 158    Pix  0 56
 -133 -113 -85 -59 -30 -56  25  86 142 165    Pix  0 57
 -139 -119 -93 -68 -40 -66  14  78 135 162    Pix  0 58
 -144 -124 -100 -72 -46 -73   6  72 128 159    Pix  0 59
 -131 -111 -83 -57 -29 -54  28  90 143 166    Pix  0 60
 -139 -118 -91 -65 -38 -63  18  81 137 163    Pix  0 61
 -142 -122 -95 -68 -41 -67  14  79 135 160    Pix  0 62
 -136 -115 -89 -63 -33 -61  19  84 138 165    Pix  0 63
 -137 -118 -91 -65 -37 -63  17  79 138 161    Pix  0 64
 -141 -120 -95 -68 -39 -67  14  77 133 160    Pix  0 65
 -141 -117 -92 -67 -39 -65  16  79 138 165    Pix  0 66
 -140 -119 -94 -68 -39 -65  14  78 137 163    Pix  0 67
 -142 -120 -94 -70 -41 -67  12  76 133 161    Pix  0 68
 -138 -119 -94 -69 -40 -66  12  77 136 164    Pix  0 69
 -144 -122 -98 -73 -46 -70   8  70 133 160    Pix  0 70
 -138 -119 -94 -67 -38 -65  14  77 134 160    Pix  0 71
 -135 -115 -88 -63 -33 -60  21  84 139 165    Pix  0 72
 -139 -120 -93 -67 -39 -67  14  76 134 161    Pix  0 73
 -140 -119 -93 -67 -39 -66  14  79 133 160    Pix  0 74
 -136 -113 -87 -63 -32 -60  19  82 138 164    Pix  0 75
 -144 -124 -99 -74 -46 -72   8  70 131 163    Pix  0 76
 -141 -120 -95 -70 -43 -68  12  77 131 158    Pix  0 77
 -134 -115 -89 -63 -36 -62  21  87 139 164    Pix  0 78
 -138 -119 -97 -73 -46 -70   3  65 125 161    Pix  0 79
 -127 -103 -77 -47 -16 -45  43 116 157 172    Pix  1  0
 -131 -109 -81 -52 -22 -50  36 111 153 167    Pix  1  1
 -133 -110 -78 -51 -18 -48  43 117 154 165    Pix  1  2
 -125 -105 -75 -48 -16 -44  44 118 158 171    Pix  1  3
 -128 -100 -70 -41 -10 -39  51 124 157 169    Pix  1  4
 -135 -110 -80 -52 -21 -48  39 114 153 165    Pix  1  5
 -122 -101 -70 -42  -9 -39  53 125 161 173    Pix  1  6
 -132 -111 -80 -54 -23 -51  38 110 154 168    Pix  1  7
 -126 -102 -73 -42 -11 -40  51 122 157 167    Pix  1  8
 -134 -108 -80 -51 -21 -48  41 115 156 168    Pix  1  9
 -126 -103 -75 -45 -12 -42  46 119 155 166    Pix  1 10
 -130 -105 -77 -45 -14 -45  47 119 154 165    Pix  1 11
 -127 -101 -75 -45 -13 -43  48 119 158 171    Pix  1 12
 -132 -108 -82 -53 -17 -50  39 113 153 167    Pix  1 13
 -132 -107 -79 -49 -18 -47  43 116 152 165    Pix  1 14
 -124 -99 -70 -41 -10 -39  52 122 157 168    Pix  1 15
 -131 -108 -79 -50 -18 -47  42 114 153 165    Pix  1 16
 -137 -114 -84 -55 -24 -53  36 109 150 162    Pix  1 17
 -125 -100 -70 -42 -10 -38  53 123 158 170    Pix  1 18
 -129 -105 -76 -45 -15 -44  47 118 155 165    Pix  1 19
 -136 -112 -84 -55 -23 -51  37 110 149 163    Pix  1 20
 -125 -101 -71 -42 -11 -39  52 121 158 169    Pix  1 21
 -132 -110 -80 -51 -19 -48  42 114 152 164    Pix  1 22
 -136 -115 -88 -59 -28 -57  32 105 149 162    Pix  1 23
 -126 -103 -75 -45 -13 -43  49 117 156 168    Pix  1 24
 -135 -111 -84 -55 -25 -52  36 106 152 165    Pix  1 25
 -133 -110 -81 -51 -20 -49  41 112 151 163    Pix  1 26
 -127 -104 -76 -47 -15 -46  46 117 156 167    Pix  1 27
 -135 -112 -85 -57 -24 -52  36 107 150 164    Pix  1 28
 -139 -116 -90 -59 -29 -59  30 103 148 162    Pix  1 29
 -133 -110 -82 -53 -22 -50  39 111 153 167    Pix  1 30
 -132 -107 -79 -51 -18 -48  41 114 153 165    Pix  1 31
 -132 -108 -79 -49 -17 -48  44 114 151 164    Pix  1 32
 -131 -108 -79 -49 -19 -47  41 113 154 168    Pix  1 33
 -133 -109 -83 -53 -24 -51  38 109 150 164    Pix  1 34
 -133 -108 -80 -49 -16 -49  42 113 151 162    Pix  1 35
 -131 -106 -81 -50 -19 -49  40 111 154 168    Pix  1 36
 -135 -111 -84 -54 -23 -54  36 107 150 164    Pix  1 37
 -137 -113 -88 -57 -25 -54  35 108 148 162    Pix  1 38
 -129 -106 -78 -47 -16 -44  45 116 155 166    Pix  1 39
 -133 -109 -82 -52 -20 -50  39 110 152 164    Pix  1 40
