Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30 50 70 90 200 

  32  36  42  47  54  48  68  87 108 176    Pix  0  0
  32  36  43  48  54  48  69  89 109 176    Pix  0  1
  32  37  43  49  55  49  69  88 109 176    Pix  0  2
  32  36  43  48  54  48  69  88 109 176    Pix  0  3
  34  39  45  50  57  51  72  92 113 179    Pix  0  4
  34  38  44  49  57  50  71  92 112 178    Pix  0  5
  32  36  41  47  54  48  69  89 110 176    Pix  0  6
  30  34  39  44  50  44  62  80 100 172    Pix  0  7
  29  33  39  45  50  44  62  81  99 172    Pix  0  8
  30  35  39  45  50  45  63  80  99 172    Pix  0  9
  31  34  39  45  50  45  62  81  99 173    Pix  0 10
  29  34  39  44  49  44  61  80  98 172    Pix  0 11
  28  32  37  43  47  43  61  79  97 170    Pix  0 12
  27  30  36  41  46  41  59  77  95 167    Pix  0 13
  27  31  35  40  46  41  59  76  94 168    Pix  0 14
  33  37  43  47  53  48  65  84 101 174    Pix  0 15
  32  36  40  46  51  46  63  82  99 172    Pix  0 16
  32  37  43  47  53  47  65  84 102 176    Pix  0 17
  31  36  40  46  52  46  65  82 101 173    Pix  0 18
  31  34  39  45  50  45  63  80 100 173    Pix  0 19
  29  32  37  42  47  42  60  78  96 169    Pix  0 20
  31  36  40  44  51  45  63  81  99 172    Pix  0 21
  29  33  38  44  49  44  62  79  97 171    Pix  0 22
  31  36  41  45  51  45  63  81 100 172    Pix  0 23
  26  30  35  40  46  39  57  76  93 166    Pix  0 24
  27  31  36  40  46  41  58  76  94 167    Pix  0 25
  28  32  36  41  46  41  58  77  95 167    Pix  0 26
  28  32  36  41  47  43  60  77  95 167    Pix  0 27
  28  32  37  42  47  44  60  77  95 167    Pix  0 28
  30  34  39  44  49  45  62  80  98 172    Pix  0 29
  25  29  35  39  45  39  56  74  92 165    Pix  0 30
  28  32  37  41  46  41  59  76  94 166    Pix  0 31
  25  29  34  38  44  39  55  72  91 164    Pix  0 32
  30  34  38  43  48  44  60  76  93 166    Pix  0 33
  32  36  40  45  49  45  61  79  96 168    Pix  0 34
  31  35  39  44  49  44  60  78  94 168    Pix  0 35
  27  30  34  39  45  39  56  72  90 163    Pix  0 36
  28  32  36  41  47  41  58  75  92 165    Pix  0 37
  28  32  36  41  46  41  57  74  92 165    Pix  0 38
  28  31  36  40  45  40  56  73  92 165    Pix  0 39
  29  32  37  41  46  41  58  75  92 166    Pix  0 40
  28  33  37  41  46  41  57  76  92 165    Pix  0 41
  24  28  32  37  42  37  53  70  87 160    Pix  0 42
  24  28  31  36  41  36  52  68  85 158    Pix  0 43
  25  28  32  37  44  38  54  72  89 160    Pix  0 44
  28  31  36  41  46  41  57  74  92 163    Pix  0 45
  28  31  35  40  45  41  57  74  92 165    Pix  0 46
  28  32  36  41  45  41  57  74  92 165    Pix  0 47
  26  29  33  38  44  38  54  72  88 161    Pix  0 48
  24  28  32  37  43  38  54  70  88 160    Pix  0 49
  24  29  33  37  42  37  53  71  88 160    Pix  0 50
  30  33  38  44  48  44  60  76  93 167    Pix  0 51
  30  35  39  44  48  44  60  77  93 166    Pix  0 52
  30  34  38  44  48  44  59  76  93 165    Pix  0 53
  26  30  34  39  44  39  55  71  90 161    Pix  0 54
  28  32  35  40  45  40  56  73  90 164    Pix  0 55
  28  30  35  39  45  40  55  72  90 162    Pix  0 56
  29  34  38  44  48  44  61  77  94 167    Pix  0 57
  28  32  36  41  45  40  57  73  91 163    Pix  0 58
  27  30  35  39  44  40  56  72  89 162    Pix  0 59
  25  29  33  37  42  38  53  70  87 159    Pix  0 60
  23  28  32  36  41  36  52  68  85 158    Pix  0 61
  23  28  31  36  40  36  51  68  84 157    Pix  0 62
  27  30  35  39  44  39  55  72  88 163    Pix  0 63
  28  32  36  40  45  40  56  73  90 163    Pix  0 64
  29  32  37  41  47  43  60  75  92 164    Pix  0 65
  24  29  32  37  43  37  53  71  87 161    Pix  0 66
  23  28  31  36  41  36  52  69  85 158    Pix  0 67
  22  25  30  34  39  35  51  67  84 157    Pix  0 68
  31  34  38  44  48  44  60  76  93 166    Pix  0 69
  31  35  39  44  49  44  61  77  95 168    Pix  0 70
  30  35  40  45  52  46  65  85 106 172    Pix  0 71
  27  32  37  41  48  43  61  81 101 167    Pix  0 72
  27  31  36  41  47  41  60  79  99 166    Pix  0 73
  25  29  35  40  46  40  60  78  98 165    Pix  0 74
